Year Make Model, Lap Time
2019 McLaren Senna, 2:34.9
2021 Mercedes-AMG GT Black Series, 2:37.0
2023 Porsche 911 GT3 RS, 2:37.2
2018 Porsche 911 GT2RS Weissach, 2:37.8
2021 McLaren 765LT, 2:38.4
2023 Chevrolet Corvette Z06, 2:38.6
2019 Chevrolet Corvette ZR1, 2:39.5
2018 McLaren 720S, 2:39.7
2022 Porsche 911 GT3 Manthey, 2:39.8
2024 Lucid Air Sapphire, 2:40.2
2023 Porsche 718 Cayman GT4 RS, 2:40.5
2022 Porsche 911 GT3, 2:40.6
2023 Porsche 718 Cayman GT4 RS Manthey, 2:40.9
2024 Lamborghini Revuelto, 2:41.3
2019 Porsche 911 GT3RS, 2:41.6
2025 Porsche Taycan Turbo GT, 2:41.8
2021 Porsche 911 Turbo S, 2:42.5
2020 McLaren 600LT Spider, 2:42.6
2017 Ford GT, 2:43.0
2015 Porsche 918 Spyder, 2:43.1
2016 Lexus RC F GT concept, 2:43.2
2018 Mercedes-AMG GT R, 2:43.4
2023 Lamborghini Huracan Tecnica, 2:43.9
2018 Lamborghini Huracán Performante, 2:44.0
2025 McLaren Artura Spider, 2:44.0
2016 Dodge Viper ACR, 2:44.2
2024 Lucid Air Sapphire, 2:44.3
2020 Ford Mustang Shelby GT500, 2:44.6
2015 Chevrolet Corvette Z06, 2:44.6
2020 Lamborghini Huracan EVO, 2:45.0
2019 Chevrolet Camaro ZL1 1LE , 2:45.0
2016 Ferrari 488GTB, 2:45.1
2017 Ford GT, 2:45.5
2018 Chevrolet Camaro ZL1 1LE, 2:45.7
2015 McLaren 650S Spider, 2:45.8
2009 Mosler MT900S, 2:45.9
2024 Chevrolet Corvette E-Ray, 2:45.9
2017 Porsche 911 Turbo S, 2:46.8
2018 Porsche 911 GT3, 2:47.0
2016 Porsche 911 GT3RS, 2:47.0
2017 Chevrolet Corvette Grand Sport, 2:47.1
2016 McLaren 570S, 2:47.4
2023 BMW M4 CSL, 2:47.5
2015 Lamborghini Huracán LP 610-4, 2:47.5
2021 Porsche Panamera Turbo S, 2:47.8
2025 Cadillac CT5-V Blackwing with Precision Package, 2:47.9
2008 Dodge Viper SRT10 ACR, 2:48.6
2020 Chevrolet Corvette Stingray Z51, 2:49.0
2019 Mercedes-AMG GT63 S 4Matic, 2:49.3
2022 Cadillac CT5-V Blackwing, 2:49.4
2015 Nissan GT-R NISMO, 2:49.4
2012 Mosler Photon, 2:49.8
2012 Ferrari 458 Italia, 2:49.9
2014 SRT Viper TA, 2:49.9
2024 BMW M3 CS, 2:50.0
2017 Chevrolet Camaro ZL1, 2:50.1
2017 Acura NSX, 2:50.2
2022 BMW M5 CS, 2:50.3
2024 Mercedes-AMG GT63, 2:50.3
2020 Porsche 718 Cayman GT4, 2:50.3
2015 Porsche 911 GT3, 2:50.4
2012 Chevrolet Corvette ZR1, 2:50.7
2014 Ferrari F12berlinetta, 2:50.8
2015 Chevrolet Camaro Z/28, 2:50.9
2016 Mercedes-AMG GT S, 2:51.0
2014 Porsche 911 Turbo S, 2:51.2
2024 Ford Mustang Dark Horse, 2:51.2
2021 Ford Mustang Mach 1, 2:51.4
2010 Lamborghini Gallardo LP570-4 Superleggara, 2:51.8
2009 Chevrolet Corvette ZR1, 2:51.8
2016 Ford Mustang Shelby GT350R, 2:51.8
2009 KTM X-Bow, 2:52.3
2022 Audi RS3, 2:52.5
2022 Mercedes-AMG SL63, 2:52.6
2022 Porsche Cayenne Turbo GT Coupe, 2:52.6
2016 BMW M4 GTS, 2:52.9
2017 Nissan GT-R Track Edition, 2:53.2
2012 Nissan GT-R, 2:53.2
2018 Porsche 911 Carrera T, 2:53.4
2011 Chevrolet Corvette Z06, 2:53.5
2022 BMW M3 Competition xDrive, 2:53.5
2014 Chevrolet Corvette Stingray, 2:53.8
2018 Ford Mustang GT Performance Package Level 2, 2:53.8
2010 Lamborghini Murciélago LP670-4 SV, 2:53.9
2019 BMW M5 Competition, 2:54.0
2016 Porsche Cayman GT4, 2:54.0
2008 Ferrari 430 Scuderia, 2:54.6
2023 Cadillac CT4-V Blackwing, 2:54.6
2017 Chevrolet Camaro SS 1LE, 2:54.8
2012 Lexus LFA, 2:55.1
2018 BMW M5, 2:55.2
2020 Porsche Taycan Turbo S, 2:55.2
2018 Mercedes-AMG E63 S, 2:55.4
2020 BMW M8 Competition, 2:55.5
2009 Nissan GT-R, 2:55.6
2023 Toyota GR Supra 3.0, 2:55.6
2022 Cadillac CT4-V Blackwing, 2:55.6
2019 Lamborghini Urus, 2:55.8
2011 Porsche 911 GT3RS, 2:55.9
2017 Audi R8 V10 Plus, 2:56.1
2022 Bentley Continental GT Speed, 2:56.2
2024 Nissan Z Nismo, 2:56.2
2018 Porsche 718 Cayman GTS, 2:56.7
2016 Cadillac CTS-V, 2:56.8
2023 BMW M2, 2:56.9
2019 Mercedes-AMG C63 S coupe, 2:57.1
2018 Alfa Romeo Giulia Quadrifoglio, 2:57.2
2008 Dodge Viper SRT10, 2:57.4
2011 Porsche 911 Turbo S, 2:57.5
2014 Audi R8 V10 Plus, 2:57.5
2013 Chevrolet Camaro ZL1, 2:57.5
2009 Ariel Atom 3, 2:57.6
2011 Mercedes-Benz SLS AMG, 2:58.0
2012 Mercedes-Benz C63 AMG Black Series, 2:58.0
2024 BMW X5 M Competition, 2:58.1
2007 Chevrolet Corvette Z06, 2:58.2
2020 Mercedes-AMG CLA45, 2:58.2
2017 Porsche 718 Cayman S, 2:58.3
2018 Audi TT RS, 2:58.5
2017 Alfa Romeo Giulia Quadrifoglio, 2:58.6
2010 Chevrolet Corvette Grand Sport, 2:58.8
2023 Honda Civic Type R, 2:58.8
2013 Porsche 911 Carrera S, 2:58.9
2009 Nissan GT-R (all-season tires), 2:59.0
2014 Mercedes-Benz SL63 AMG, 2:59.1
2014 Jaguar XKR-S GT, 2:59.1
2015 Mercedes-AMG C63 S, 2:59.2
2017 Porsche Panamera Turbo, 2:59.2
2019 Porsche Cayenne Turbo, 2:59.2
2016 Cadillac ATS-V Coupe, 2:59.2
2021 Toyota Supra 3.0 Premium, 2:59.3
2010 Audi R8 5.2 FSI Quattro, 2:59.5
2021 Jaguar F-Type R, 2:59.5
2023 Toyota GR Corolla Morizo Edition, 2:59.6
2019 BMW M2 Competition, 2:59.7
2018 Dodge Challenger SRT Hellcat Widebody, 2:59.8
2016 Cadillac ATS-V, 2:59.8
