url,year,make,model,full_model,hrst_make,hrst_model,hrst_submodel,hrst_year,hrst_body_style,hrst_fuel_type,hrst_title,hrst_author,hrst_publish_date,hrst_modified_date,vehicle_type,base_price,as_tested_price,engine_type,displacement,power_hp,power_rpm,torque_lb_ft,torque_rpm,transmission,wheelbase,length,width,height,curb_weight,zero_to_60_mph,zero_to_100_mph,quarter_mile_time,quarter_mile_speed,top_speed,braking_70_0,braking_100_0,skidpad_g,rolling_start_5_60,top_gear_30_50,top_gear_50_70,fuel_economy_combined,fuel_economy_city,fuel_economy_highway,fuel_economy_observed,ev_range,is_estimated
https://www.caranddriver.com/reviews/a14498026/2001-toyota-prius-instrumented-test/,2001,Toyota,Prius,2001 Toyota Prius,Toyota,Prius,Toyota Prius,2001,sedan,gas,Tested: 2001 Toyota Prius,Aaron Robinson,2001-03-01,2001-03-01,"front-engine, front-wheel-drive, 5-passenger, 4-door sedan",100,20855,"5-liter 4-in-line, 70 hp, 82 lb-ft; 3-phase AC permanent synchronous electric motor, 44 hp, 258 lb-ft",,,,,,continuously variable automatic,100.4,169.6,66.7,57.6,2878,13.0,,19.2,73,,183,,,,5.5,8.5,,,,35,,yes
https://www.caranddriver.com/reviews/a14498137/2018-mercedes-amg-e63-s-sedan-test-review/,2018,Mercedes-AMG,E63,2018 Mercedes-AMG E63,Mercedes-AMG,E63 S 4Matic,Mercedes-AMG E63 S 4MATIC sedan,2018,sedan,gas,603-HP 2018 Mercedes-AMG E63 S Sedan Tested!,Alexander Stoklosa,2017-12-22,2017-12-22,"front-engine, rear-/all-wheel-drive, 5-passenger, 4-door sedan",105395,135330,"twin-turbocharged and intercooled DOHC 32-valve V-8, aluminum block and heads, direct fuel injection",,603,6500,627,2500,9-speed automatic with manual shifting mode,115.7,196.4,75.1,56.6,4587,2.9,6.9,11.0,126,,155,,1.01,3.9,2.3,2.7,18,15,22,12,,yes
https://www.caranddriver.com/reviews/a14498175/2018-honda-odyssey-tested-with-nine-speed-automatic-review/,2018,Honda,Odyssey 9-Speed Automatic,2018 Honda Odyssey 9-Speed Automatic,Honda,Odyssey,Honda Odyssey,2018,van,gas,Tested: 2018 Honda Odyssey Nine-Speed Automatic,Joey Capparella,2017-12-22,2017-12-22,"front-engine, front-wheel-drive, 8-passenger, 4-door van",30965,40335,"SOHC 24-valve V-6, aluminum block and heads, direct fuel injection",,280,6000,262,4700,9-speed automatic with manual shifting mode,118.1,203.2,78.5,68.3,4457,6.7,17.1,15.2,95,,180,,0.74,6.9,4.2,4.7,22,19,28,20,,yes
https://www.caranddriver.com/reviews/a14498342/2018-lexus-lc500h-hybrid-test-review/,2018,Lexus,LC,,Lexus,LC,Lexus LC500h,2018,coupe,gas,Tested: 2018 Lexus LC500h Hybrid,Joey Capparella,2017-12-21,2017-12-21,"front-engine, rear-wheel-drive, 4-passenger, 2-door coupe",97505,108360,"DOHC 24-valve Atkinson-cycle 3.5-liter V-6, 295 hp, 257 lb-ft; 2 permanent-magnet synchronous AC motors, 177 hp, 221 lb-ft; combined output, 354 hp; 1.1-kWh lithium-ion battery pack",,,,,,continuously variable automatic with 4 fixed ratios and manual shifting mode,113.0,187.4,75.6,53.0,4521,4.8,12.6,13.6,103,,165,,0.91,5.1,3.1,3.9,30,26,35,24,,yes
https://www.caranddriver.com/reviews/a14498361/2018-alfa-romeo-stelvio-20t-awd-test-review/,2018,Alfa,Romeo Stelvio 2.0T AWD,2018 Alfa Romeo Stelvio 2.0T AWD,Alfa Romeo,Stelvio,Alfa Romeo Stelvio,2018,suv,gas,Tested: 2018 Alfa Romeo Stelvio 2.0T AWD,Mike Sutton,2017-12-20,2017-12-20,"front-engine, all-wheel-drive, 5-passenger, 4-door hatchback",43190,55440,"turbocharged and intercooled SOHC 16-valve inline-4, aluminum block and head, direct fuel injection",,280,5200,306,2000,8-speed automatic with manual shifting mode,110.9,184.6,74.9,66.0,4037,5.4,14.7,14.1,98,,176,,0.84,6.5,3.4,4.2,24,22,28,19,,yes
https://www.caranddriver.com/reviews/a14498494/2018-chevrolet-equinox-diesel-awd-test-review/,2018,Chevrolet,Equinox Diesel AWD,2018 Chevrolet Equinox Diesel AWD,Chevrolet,Equinox,Chevrolet Equinox,2018,suv,gas,43 MPG! 2018 Chevrolet Equinox Diesel AWD Tested,Andrew Wendler,2017-12-14,2017-12-14,"front-engine, all-wheel-drive, 5-passenger, 4-door hatchback",33385,35630,"turbocharged and intercooled DOHC 16-valve diesel inline-4, aluminum block and head, direct fuel injection",,137,3750,240,2000,6-speed automatic with manual shifting mode,107.3,183.1,72.6,65.4,3769,9.4,30.8,17.2,80,,182,,0.77,9.9,4.5,6.7,32,28,38,34,,yes
https://www.caranddriver.com/reviews/a14498503/2018-infiniti-qx80-first-drive-review/,2018,Infinit,QX80,2018 Infinit QX80,Infiniti,QX80,Infiniti QX80,2018,suv,gas,First Drive: 2018 Infiniti QX80,Clifford Atiyeh,2017-12-20,2017-12-20,"front-engine, rear- or all-wheel-drive, 7- or 8-passenger, 4-door hatchback",121,,"DOHC 32-valve V-8, aluminum block and heads, direct fuel injection",,400,5800,413,4000,7-speed automatic with manual shifting mode,121.1,208.9,79.9,75.8,5750,6.1,17.0,15.0,,130,,,,,,,,,,,,yes
https://www.caranddriver.com/reviews/a14498509/2018-buick-regal-sportback-first-drive-review/,2018,Buick,Regal Sportback,2018 Buick Regal Sportback,Buick,,,,sedan,,First Drive: 2018 Buick Regal Sportback,Steve Siler,2017-12-18,2017-12-18,"front-engine, front- or all-wheel-drive, 5-passenger, 4-door hatchback",111,,"turbocharged and intercooled DOHC 16-valve 2.0-liter inline-4, 250 hp, 260 or 295 lb-ft",,,,,,S,111.4,192.9,73.3,57.3,3550,6.2,17.3,14.7,,130,,,,,,,,,,,,yes
https://www.caranddriver.com/reviews/a14498517/2018-bmw-x3-first-drive-review/,2018,BMW,X3,2018 BMW X3,BMW,X3,BMW X3,2018,suv,gas,First Drive: 2018 BMW X3 is Fine-Tuned,Joe Lorio,2017-12-18,2017-12-18,"front-engine, all-wheel-drive, 5-passenger, 4-door hatchback",112,,S,,,,,,8-speed automatic with manual shifting mode,112.8,,,66.0,4200,4.4,11.2,13.0,,130,,,,,,,,,,,,yes
https://www.caranddriver.com/reviews/a14498547/2018-jeep-wrangler-first-drive-review/,2018,Jeep,Wrangler,2018 Jeep Wrangler,Jeep,Wrangler,Jeep Wrangler JL 2-door,2018,coupe,gas,First Drive: All-New 2018 Jeep Wrangler,Daniel Pund,2017-12-13,2017-12-13,"front-engine, rear-/all- or rear-/4-wheel-drive, 4- or 5-passenger, 2- or 4-door convertible",96,,S,,,,,,S,,,73.8,73.6,4000,6.5,23.9,15.1,,115,,,,,,,,,,,,yes
