Rank,Vehicle,Driver,Time,PS / KG
1,Porsche 911 GT3 Touring,unknown,0:21.60,510 / 1464
2,Ferrari 296 GTB,unknown,0:21.70,830 / 1621
3,McLaren 765LT Spider,unknown,0:21.80,765 / 1437
4,Corvette Z06 Z07 Package,unknown,0:21.85,679 / 1661
5,McLaren Senna (P15),unknown,0:21.90,800 / 1364
6,Porsche 911 GT2 RS (991),unknown,0:21.90,700 / 1512
7,AMG GT Black Series,unknown,0:21.90,730 / 1637
8,Porsche 911 GT3 RS (992),unknown,0:21.90,525 / 1480
9,Taycan Turbo GT Weissach Pack.,unknown,0:21.90,1108 / 2257
10,Porsche 911 GT3 RS,unknown,0:22.00,520 / 1471
11,Porsche Taycan Turbo GT,unknown,0:22.00,1033 / 2334
12,Porsche 911 GT3 (992),unknown,0:22.10,510 / 1456
13,Porsche 918 Spyder,unknown,0:22.20,887 / 1671
14,McLaren 600LT,unknown,0:22.20,600 / 1404
15,Huracán Performante,unknown,0:22.20,640 / 1562
16,Lamborghini Huracán Evo,unknown,0:22.30,640 / 1620
17,Chevrolet Corvette Z06 (C7),unknown,0:22.30,659 / 1611
18,McLaren 765LT,unknown,0:22.30,765 / 1368
19,Lamborghini Huracán STO,unknown,0:22.30,640 / 1509
20,McLaren 720S,unknown,0:22.30,720 / 1429
21,Porsche 911 Turbo S Cabriolet,unknown,0:22.30,650 / 1722
22,Dodge Viper ACR (Mk V),unknown,0:22.30,654 / 1540
23,Porsche 718 Cayman GT4 RS,unknown,0:22.30,500 / 1449
24,Corvette Grand Sport,unknown,0:22.30,466 / 1583
25,McLaren 675LT,unknown,0:22.40,675 / 1363
26,Porsche 911 Carrera GTS,unknown,0:22.40,540 / 1637
27,Porsche 911 Turbo S (992),unknown,0:22.50,650 / 1650
28,McLaren 750S,unknown,0:22.50,750 / 1430
29,Porsche 911 GT3 Touring (992),unknown,0:22.50,510 / 1480
30,GT 63 S E Performance,unknown,0:22.50,816 / 2168
31,Chevrolet Corvette E-Ray (C8),unknown,0:22.50,664 / 1790
32,Porsche 911 GT3 (991 facelift),unknown,0:22.50,500 / 1477
33,Lamborghini Aventador SVJ,unknown,0:22.50,770 / 1718
34,Lucid Air Sapphire,unknown,0:22.60,1251 / 2419
35,Cadillac CT5-V Blackwing,unknown,0:22.60,677 / 1870
36,Ferrari 488 GTB,unknown,0:22.60,670 / 1547
37,Lamborghini Huracán Tecnica,unknown,0:22.60,640 / 1566
38,Porsche 911 Carrera S (992),unknown,0:22.70,450 / 1553
39,Ford GT (Mk II 656 PS),unknown,0:22.70,656 / 1480
40,Porsche 911 Carrera 4 GTS,unknown,0:22.70,480 / 1613
41,Corvette Z06 Convertible,unknown,0:22.70,679 / 1705
42,Chevrolet Corvette ZR1 (C7),unknown,0:22.70,765 / 1651
43,Corvette Z06 Z07 Package,unknown,0:22.80,512 / 1438
44,Porsche 911 GT3 (991),unknown,0:22.80,476 / 1451
45,Ferrari F8 Tributo,unknown,0:22.80,720 / 1522
46,Mercedes-Benz AMG GT R,unknown,0:22.80,585 / 1637
47,Porsche 911 Carrera S,unknown,0:22.80,480 / 1578
48,Porsche 911 GT3 RS (991),unknown,0:22.90,500 / 1469
49,Porsche 911 GT2 (997),unknown,0:22.90,530 / 1486
50,SRT Viper TA,unknown,0:22.90,649 / 1516
51,Camaro SS 1LE Package,unknown,0:22.90,461 / 1703
52,Porsche 911 Turbo S,unknown,0:22.90,580 / 1604
53,Porsche Panamera Turbo S,unknown,0:22.90,630 / 2124
54,Porsche 911 Turbo S (991),unknown,0:22.90,560 / 1606
55,Nissan GT-R Nismo (R35),unknown,0:22.90,600 / 1748
56,Lamborghini Huracán LP 610-4,unknown,0:23.00,610 / 1548
57,Camaro ZL1 1LE Package,unknown,0:23.00,659 / 1748
58,Nissan GT-R (R35 550 PS),unknown,0:23.00,550 / 1767
59,Chevrolet Corvette ZR1 (C6),unknown,0:23.00,647 / 1524
60,McLaren 570S,unknown,0:23.00,570 / 1449
61,Chevrolet Camaro ZL1 (Mk VI),unknown,0:23.00,659 / 1771
62,911 Carrera GTS Cabriolet,unknown,0:23.00,540 / 1704
63,Porsche 718 Spyder,unknown,0:23.00,420 / 1435
64,Mercedes-Benz AMG GT 63 S,unknown,0:23.10,639 / 2113
65,Chevrolet Corvette Z06 (C6),unknown,0:23.10,512 / 1451
66,SLS AMG Black Series,unknown,0:23.10,631 / 1646
67,Lamborghini Urus Performante,unknown,0:23.10,666 / 2222
68,Porsche 718 Cayman GT4 (982),unknown,0:23.10,420 / 1452
69,Porsche 718 Boxster S,unknown,0:23.10,350 / 1418
70,McLaren 650 S Spider,unknown,0:23.10,650 / 1487
71,Porsche 911 Carrera S,unknown,0:23.10,420 / 1495
72,Porsche 911 Carrera 4S (992),unknown,0:23.10,450 / 1573
73,Ford Shelby Mustang GT350R,unknown,0:23.10,533 / 1675
74,SRT Viper GTS,unknown,0:23.10,649 / 1560
75,Aventador LP750-4 SV,unknown,0:23.10,750 / 1735
76,Porsche 911 Turbo Cabriolet,unknown,0:23.10,540 / 1674
77,Porsche 911 GT2 RS (997),unknown,0:23.20,620 / 1410
78,SRT Viper,unknown,0:23.20,649 / 1509
79,Porsche 911 Turbo S,unknown,0:23.20,530 / 1593
80,McLaren MP4-12C,unknown,0:23.20,600 / 1457
81,Tesla Model S Plaid,unknown,0:23.20,1020 / 2197
82,BMW M5 CS,unknown,0:23.20,635 / 1851
83,Maserati MC20 Cielo,unknown,0:23.20,630 / 1687
84,Honda NSX (Mk II),unknown,0:23.20,581 / 1769
85,Callaway Corvette SC627,unknown,0:23.20,636 / 1604
86,Mercedes-Benz AMG GT S,unknown,0:23.20,510 / 1653
87,BMW M2 (G87),unknown,0:23.20,459 / 1715
88,McLaren 570GT,unknown,0:23.20,570 / 1496
89,Porsche 718 Cayman GTS 4.0,unknown,0:23.20,400 / 1436
90,Audi R8 V10 Plus (Mk II),unknown,0:23.20,610 / 1643
91,Acura NSX Type S (Mk II),unknown,0:23.20,608 / 1738
92,Jaguar XE SV Project 8,unknown,0:23.20,600 / 1801
93,Porsche Cayenne Turbo GT,unknown,0:23.20,640 / 2247
94,Chevrolet Corvette Stingray,unknown,0:23.30,502 / 1643
95,GT 63 S E Performance,unknown,0:23.30,843 / 2370
96,Nissan GT-R (R35 530 PS),unknown,0:23.30,530 / 1767
97,Porsche 911 Carrera (992),unknown,0:23.30,385 / 1512
98,Lamborghini Aventador LP700-4,unknown,0:23.30,700 / 1785
99,Saleen S7 Twin Turbo,unknown,0:23.30,760 / 1298
100,Mosler MT900S Photon,unknown,0:23.30,441 / 973
101,Ferrari 812 Superfast,unknown,0:23.30,800 / 1728
102,BMW M4 GTS (F82),unknown,0:23.30,500 / 1604
103,BMW M5 (F90),unknown,0:23.30,600 / 1921
104,Aston Martin Vantage,unknown,0:23.30,665 / 1717
105,BMW M3 Competition xDrive,unknown,0:23.30,510 / 1776
