Year,Photo,Subject,"Featured vehicles
(on the main display)",Comment,Ref.
1997,,Ferrari,Ferrari F310B,50th anniversary,
1998,,Porsche,"Porsche 936/81 
 Porsche 917-20 ""Pink Pig"" 
 Porsche 917 LH 
 Porsche 956 
 Porsche 911 GT1",50th anniversary,
1999,,Audi,"Audi Avus quattro
Auto Union Type C Streamliner",Depicts the banking of Avus as if the cars are racing together. The Streamliner is a replica built especially for the display,
2000,,Jaguar,"Jaguar E-Type
Jaguar XK120
Jaguar C-Type
Jaguar D-Type
Jaguar XJR-5
Jaguar XJR-8",Depicts the cat's cradle. Celebrating its F1 debut,
2001,,Mercedes-Benz,Mercedes-Benz 300SL,"100th anniversary, resembling a gush of liquid, falling and spreading as it hits the ground.",
2002,,Renault,"Renault RS01
Renault RE40
Renault RE60
Williams-Renault FW14
Benetton-Renault B195
Williams-Renault FW18
Renault R202",Honouring its comeback in F1 racing. Depicting a feather,
2003,,Ford,Ford GT40 Mk. II,"100th anniversary. Depicting the 1966 24 Hours of Le Mans race and its famous finish. As the actual cars were on track, those displayed are replicas.",
2004,,Rolls-Royce,"Supermarine S.6
Campbell-Railton Blue Bird
Bluebird K4 replica","100th anniversary, indicating the brand's supremacy in record breaking on land, sea and air",
2005,,Honda,"Honda RA272
Honda RA300
Lotus-Honda 99T
Williams-Honda FW11
McLaren-Honda MP4/4
BAR-Honda 006","40th anniversary of its first Formula One victory. For the first time, the arms moved, raising and lowering the cars.",
2006,,Renault,"Renault Type AK 90CV
Renault R26","100th anniversary of Grand Prix racing. Used as a shelter for its Formula One cars that is designed to channel sound. Using a laptop, the cars can produce music out of its engine. Two tunes were performed, one of those played is God Save the Queen",
2007,,Toyota,"Toyota TS010
Toyota Celica GT-Four
Toyota GT-One
Lola-Toyota B2/00
Toyota TF107",Inspired by the traditional torii gates. Celebrating its 75th anniversary and 50 years involvement in motor sport.,
2008,,Land Rover,"Land Rover Defender
Land Rover Discovery
Land Rover Freelander
Range Rover","60th anniversary. Indicating the brand's ""any terrain"" essence by depicting a rock.",
2009,,Audi,"Audi R8
Auto Union Type C Streamliner",100th anniversary sculpture depicting the road from the streamliner to the R8 forming a loop in front of the house.,
2010,,Alfa Romeo,"Alfa Romeo P2
Alfa Romeo 8C Competizione",100th anniversary,
2011,,Jaguar,Jaguar E-Type,Celebrating 50 years of the model,
2012,,Lotus,"Lotus 49
Lotus 79
Lotus 99T
Lotus E20","'Past, Present and Future'",
2013,,Porsche,"Porsche 911
Porsche 911 Carrera RS 2.7
Porsche 911 991",50th anniversary of 911,
2014,,Mercedes-Benz,"Mercedes-Benz W25
Mercedes AMG W04",120 years in motorsport: an arch over Goodwood House,[non-primary source needed]
2015,,Mazda,"Mazda 787B
Mazda LM55 Vision Gran Turismo",Celebrating Mazda's Challenger Spirit with both the racing legends of its illustrious sporting past and the stylish cars of its current range.,
2016,,BMW,"BMW 328 Mille Miglia Roadster
Brabham-BMW BT52
BMW V12 LMR",BMW Motorsport success,
2017,,Bernie Ecclestone,"Connaught Type B
Lotus 72
Brabham BT49
Ferrari F2001
Mercedes F1 W07","In 2017, for the first time ever, the Central Feature celebrated an individual rather than a marque: Bernie Ecclestone, the man responsible for transforming Formula 1 into a multibillion-dollar global phenomenon.",
2018,,Porsche,"Porsche 356
Porsche 917
Porsche 959
Porsche 918 Spyder
Porsche 911R
Porsche 919 Hybrid",70 years since the first production Porsche,
2019,,Aston Martin,Aston Martin DBR1,"70 years since Aston Martin's first race at Goodwood, when W.G. Bingley finished 10th and 60 years since their 1–2 victory at Le Mans.",
2021,,Lotus,(interactive QR code),"Celebrating ""the peerless sporting and technical achievements of Lotus Cars"", and Colin Chapman's philosophy of ""add lightness""; the shape was to evoke the rooster tail air flow analysis of the Lotus Evija",
2022,,BMW,"BMW 3.0 CSL
BMW M1 Procar
BMW V12 LMR
BMW M3 GT2
BMW M Hybrid V8",Celebration of 50 years of BMW M.,
2023,,Porsche,"Porsche 356
Porsche 804
Porsche 962
Porsche 911 Sport Classic
Porsche 911 Carrera S
Porsche 963",75 years of Porsche sportscars,
2024,,MG,"MG MGB
MG Cyberster",100 years of MG,
2025,,Gordon Murray,"Gordon Murray Automotive T.50
Brabham BT52","Celebration of automobile designer Gordon Murray ""with the greatest hits of his 60-year career in car design.""",
