Number,Year,Driver,Car,Fastest Time
1,1993,Willie Green,Surtees-Cosworth TS20,0:56.30
2,1994,Martin Brundle,McLaren-Peugeot MP4/9,0:47.80
3,1995,Jonathan Palmer,Williams-Ford Cosworth FW08B,0:46.06
4,1996,Jonathan Palmer,Williams-Ford Cosworth FW07B,0:45.00
5,1997,Nick Heidfeld,McLaren-Mercedes MP4/11B,0:47.30
6,1998,Nick Heidfeld,McLaren-Mercedes MP4/12,0:48.30
7,1999,Nick Heidfeld,McLaren-Mercedes MP4/13,0:41.60
8,2000,Martin Stretton,Tyrrell-Ford Cosworth P34,0:45.05
9,2001,David Franklin,Ferrari 712 Can Am,0:48.26
10,2002,Rod Millen,Toyota Celica Pikes Peak,0:47.40
11,2003,"Graeme Wight, Jr.",Gould-Cosworth GR51,0:42.90
12,2004,Justin Law,Jaguar XJR-12,0:49.26
13,2005,Justin Law,Jaguar XJR-12,0:47.96
14,2006,Richard Lyons,Nissan 350Z GT500,0:49.51
15,2007,Anthony Reid,Nissan 350Z GT500,0:53.78
16,2008,Justin Law,Jaguar XJR8/9,0:44.19
17,2009,Justin Law,Jaguar XJR8/9,0:44.40
18,2010,Roger Wills,Williams-Ford Cosworth FW05,0:47.15
19,2011,Dan Collins,Lotus-Ford Cosworth 88,0:48.52
20,2012,Anthony Reid,Chevron-Nissan GR8 GT3,0:46.46
21,2013,Justin Law,Jaguar XJR8/9,0:45.95
22,2014,Sébastien Loeb,Peugeot 208 T16 Pikes Peak,0:44.60
23,2015,Olly Clark,"Subaru Impreza ""Gobstopper II""",0:44.91
24,2016,Olly Clark,"Subaru Impreza ""Gobstopper II""",0:46.23
25,2017,Justin Law,Jaguar XJR-12D,0:46.13
26,2018,Romain Dumas,Volkswagen I.D. R,0:43.86
27,2019,Romain Dumas,Volkswagen I.D. R,0:42.32
28,2021,Rob Bell,McLaren 720S GT3X,0:45.01
29,2022,Max Chilton,McMurtry Spéirling,0:39.08
30,2023,Marvin Kirchhöfer,McLaren Solus GT,0:45.34
31,2024,Romain Dumas,Ford SuperVan 4.2 Electric,0:43.98
32,2025,Romain Dumas,Ford F-150 Lightning,0:43.22
