Category,Time,Driver,Vehicle,Event
Hillclimb: 1.86 km,Hillclimb: 1.86 km,Hillclimb: 1.86 km,Hillclimb: 1.86 km,Hillclimb: 1.86 km
All-Time,0:39.08,Max Chilton,McMurtry Spéirling,2022 Goodwood Festival of Speed
PPIHC Unlimited,0:39.90,Romain Dumas,Volkswagen I.D. R,2019 Goodwood Festival of Speed
Formula One,0:41.60,Nick Heidfeld,McLaren-Mercedes MP4/13,1999 Goodwood Festival of Speed
Group C,0:44.19,Justin Law,Jaguar XJR8/9,2008 Goodwood Festival of Speed
Formula Two,0:45.64,Ben Mitchell,March-BMW 782,2022 Goodwood Festival of Speed
CART,0:46.22,Jeremy Smith,Penske-Chevrolet PC22,2017 Goodwood Festival of Speed
GT3,0:46.46,Anthony Reid,Chevron-Nissan GR8 GT3,2012 Goodwood Festival of Speed
Porsche Carrera Cup,0:46.74,James Wallis,Porsche 911 GT3 Cup,2025 Goodwood Festival of Speed
Group R5,0:47.32,Grégory Guilvert,Peugeot 208 T16,2013 Goodwood Festival of Speed
WRC,0:47.83,Petter Solberg,Volkswagen Polo WRX,2019 Goodwood Festival of Speed
LMP900,0:47.72,James Cottingham,Dallara SP1 LMP,2015 Goodwood Festival of Speed
Formula 5000,0:47.86,Michael Lyons,Lola-Chevrolet T400,2018 Goodwood Festival of Speed
Group 7,0:47.88,Alex Summers,Shadow DN4,2025 Goodwood Festival of Speed
NASCAR Trucks,0:48.25,Mike Skinner,Toyota Tundra,2018 Goodwood Festival of Speed
Formula Three,0:48.31,Billy Monger,Carlin F3,2018 Goodwood Festival of Speed
Formula E,0:48.59,Nick Heidfeld,Mahindra M4 Electro,2017 Goodwood Festival of Speed
Group A,0:48.91,Jake Hill,Nissan Skyline GTR R32 Group A,2024 Goodwood Festival of Speed
GT1,0:49.07,Michael Krumm,Nissan GT-R GT1,2012 Goodwood Festival of Speed
Supercar,0:47.14,Markus Lundh,Koenigsegg Sadair's Spear,2025 Goodwood Festival of Speed
GT500,0:49.51,Richard Lyons,Nissan 350Z GT500,2006 Goodwood Festival of Speed
Ferrari Challenge,0:49.88,Andrew Morrow,Ferrari 488 Challenge,2023 Goodwood Festival of Speed
Group 6,0:50.08,David Franklin,Ferrari 312 P,2015 Goodwood Festival of Speed
LM GTE,0:50.35,Timo Bernhard,Porsche 911 RSR-19,2022 Goodwood Festival of Speed
Class 1,0:50.82,Ricky Collard,BMW M4 DTM,2018 Goodwood Festival of Speed
Group B,0:50.98,Pat Doran,Ford RS200 Evo 2,2017 Goodwood Festival of Speed
Stock car racing,0:51.39,Ed Berrier,Chevrolet Camaro,2022 Goodwood Festival of Speed
GT2,0:51.45,Olaf Manthey,Porsche 911 GT2 RS Clubsport 25,2023 Goodwood Festival of Speed
NGTC,0:52.58,Andrew Jordan,BMW 125i M Sport,2018 Goodwood Festival of Speed
Group Rally1,0:52.72,Esapekka Lappi,Hyundai i20 N Rally1 Hybrid,2023 Goodwood Festival of Speed
TCR,0:53.11,Lewis Kent,Hyundai Veloster N TCR,2022 Goodwood Festival of Speed
Group 5,0:53.18,Andrew Willis,Matra-Simca MS670,2011 Goodwood Festival of Speed
GT4,0:53.56,Billy Johnson,Ford Mustang GT4,2017 Goodwood Festival of Speed
Group R3,1:00.69,Martin McCormack,Citroën DS3 R3,2011 Goodwood Festival of Speed
Grand Prix,1:01.29,Julian Majzub,Bugatti Type 35B,2017 Goodwood Festival of Speed
Autonomous,1:06.38,PoliMOVE,IAC-AV 24,2024 Goodwood Festival of Speed
Forest Rally Stage 2.5 km,Forest Rally Stage 2.5 km,Forest Rally Stage 2.5 km,Forest Rally Stage 2.5 km,Forest Rally Stage 2.5 km
