Length,Time,Make Model,Class,Driver,Date,Source,Notes
"20,832 m",6:11.13,Porsche 956,Gr. C,Stefan Bellof,1983-05-28,,Pole-position for 1983 1000k Sports Car race
"20,832 m",6:16.85,Porsche 956,Gr. C,Jochen Mass,1983-05-28,,Pole-position for 1983 1000k Sports Car race
"22,835 m",6:58.6,Ferrari 312T,F1,Niki Lauda,1975-08-02,,Pole-position for 1975 German Grand Prix. During unofficial practice in 1974 Lauda drove 6:58.2 in a Ferrari 312B3.
"22,835 m",7:06.5,McLaren M23–Ford,F1,James Hunt,1976-07-31,,Pole-position for 1976 German Grand Prix
"22,835 m",7:08.59,Ford Capri Zakspeed Turbo,Gr. 5,Klaus Niedzwiedz,1982-07-04,,Pole-pos Großer Preis der Tourenwagen
"22,835 m",7:30.52,Ford Capri Zakspeed Turbo,Gr. 5,Klaus Ludwig,1980-03-30,,Pole-position for 1980 DRM race
"22,835 m",7:31.7,Porsche 935 K3,Gr. 5,Klaus Ludwig,1979-04-29,,"Pole-position for 1979 Eifelrennen, DRM race"
"22,835 m",7:34.30,Porsche 917/10,Interserie,Emerson Fittipaldi,1974-06-16,,"1974 Goodyear-Pokal, 300-Kilometer-Rennen, Interserie, European Championship for Touring Cars"
"22,835 m",7:44.4,Ford Capri Zakspeed Turbo,Gr. 5,Hans Heyer,1979-04-29,,"Fastest Category II car of 1979 Eifelrennen, DRM race"
"22,835 m",7:45.44,BMW 320 Turbo,Gr. 5,Hans-Joachim Stuck,1980-03-30,,"Fastest Category II car of 1980 Eifelrennen, DRM race"
"22,835 m",7:42.1,Brabham BT26A-Ford,F1,Jacky Ickx,1969-08-03,,"pole 1969 German GP, fastest on original bumpy track"
"20,832 m",7:56.0,Jaguar XJS,Gr. A,Tom Walkinshaw,1983-07-09,,"Pole Großer Preis der Tourenwagen, European Touring Car Championship race"
"24,368 m",7:57.474,Audi R8 LMS Ultra,SP9 GT3,Marc Basseng/Frank Stippler,2014-09-30,,Average speed 183.651 km/h. Pole position for 2014 VLN 37. RCM DMV Grenzlandrennen. Fastest qualifying lap on current Nürburgring VLN layout.
"25,378 m",8:09.058,Mercedes-AMG GT3 Evo,SP9 GT3,Raffaele Marciello,2023-05-19,,Average speed 186.810 km/h. Pole position for 2023 24 Hours Nürburgring race. Fastest qualifying lap on current Nürburgring 24h layout.
"25,378 m",8:09.105,Porsche 911 GT3 R (991),SP9 GT3,Laurens Vanthoor,2018-05-11,,Average speed 186.792 km/h. Pole position for 2018 24 Hours Nürburgring race. Onboard video.
"25,378 m",8:10.921,McLaren MP4-12C GT3,SP9 GT3,Kévin Estre,2014-06-20,,Average speed 186.101 km/h. Pole position for 2014 24 Hours Nürburgring race. Video confirmed.
"22,810 m",9:43.1,Mercedes-Benz W154,GP,Hermann Lang,1938-07-24,n/a,Pole-position for 1939 German Grand Prix
"22,810 m",9:48.4,Mercedes-Benz W154,GP,Manfred von Brauchitsch,1939-07-23,n/a,Pole-position for 1938 German Grand Prix
