Category,Time,Rider,"Event, Notes"
Men's,31:11.17,Victor de la Parte,"Winner 22 km-Zeitfahren, Rad&Run am Ring 2015"
Men's,31:43.28,Patrick Schelling,"Winner 22 km-Zeitfahren, Rad am Ring 2016"
Men's,32:43.36,Manuel Bosch,"Winner 22 km-Zeitfahren, Rad am Ring 2017"
Men's,33:08.00,Karl Platt,"Winner 22 km-Zeitfahren, Rad am Ring 2019"
Men's,34:47.00,Christian Bundschuh,"Winner 22 km-Zeitfahren, Rad am Ring 2018"
Women's,38:00.00,Lisa Brömmel,"Winner 22 km-Zeitfahren, Rad am Ring 2019"
Women's,38:34.00,Lisa Brömmel,"Winner 22 km-Zeitfahren, Rad am Ring 2018"
Women's,39:44.55,Tatjana Paller,"Winner 22 km-Zeitfahren, Rad am Ring 2016"
Women's,39:57.37,Bianca Lust,"Winner 22 km-Zeitfahren, Rad am Ring 2017"
Women's,41:18.87,Gudrun Stock,"Winner 22 km-Zeitfahren, Rad&Run am Ring 2015"
