Car,Year,Propulsion,Time,Time,Limited number,Noted specifications
Car,Year,Propulsion,Up to 1 foot (305 mm) rollout,From standing,Limited number,Noted specifications
Porsche Taycan Turbo GT,2025,Electric,9.06 s at 243.9 km/h (151.53 mph),—N/a,—N/a,
Bugatti Chiron Super Sport,2021,ICE,9.1 s at 259.1 km/h (161 mph),—N/a,100-110
Lucid Air Sapphire,2023,Electric,9.1 s at 251.1 km/h (156 mph),—N/a,—N/a,
Bugatti Chiron Sport,2018,ICE,9.4 s at 254.3 km/h (158 mph),—N/a,60,
Lamborghini Revuelto,2024,Hybrid,9.4 s at 235.0 km/h (146 mph),—N/a,—N/a,
Ferrari SF90 Stradale,2021,Hybrid,9.5 s at 238.2 km/h (148 mph),—N/a,—N/a,
Lotus Evija,2024,Electric,9.5 s at 276.2 km/h (171.6 mph),9.5 s at 276.2 km/h (171.6 mph),130,
Chevrolet Corvette (C8) ZR1,2025,ICE,9.5 s at 239.8 km/h (149 mph),—N/a,—N/a,with ZTK package
Ferrari 296 GTB,2023,Hybrid,9.6 s at 240.8 km/h (149.6 mph),—N/a,—N/a,
Porsche 918 Spyder,2015,Hybrid,9.7 s at 233.4 km/h (145 mph),9.81 s at 238.6 km/h (148.3 mph),918,
McLaren P1,2015,Hybrid,9.8 s at 239.6 km/h (148.9 mph),10.2 s at 237.4 km/h (147.5 mph),375,
Bugatti Veyron Super Sport,2010,ICE,9.9 s at 239 km/h (148.5 mph),9.9 s at 239 km/h (148.5 mph),30,
McLaren 720S,2018,ICE,9.9 s at 238.5 km/h (148.2 mph),10.02 s at 234.1 km/h (145.5 mph),—N/a,
Porsche 911 Turbo S (992),2020,ICE,9.9 s at 223.7 km/h (139 mph),10.28 s at 217.32 km/h (135.04 mph),—N/a,
Bugatti Veyron,2005,ICE,10.1 s at 228.5 km/h (142 mph),—N/a,420,
Porsche 911 GT2 RS (991),2018,ICE,10.1 s at 221.9 km/h (137.9 mph),10.1 s at 221.9 km/h (137.9 mph),—N/a,
McLaren Senna,2019,ICE,10.1 s at 237.3 km/h (147.5 mph),—N/a,500,
Ferrari 488 Pista,2019,ICE,10.1 s at 231.9 km/h (144.1 mph),10.2 s at 230 km/h (142.9 mph),—N/a,
Lamborghini Huracán Performante,2018,ICE,10.2 s at 218.9 km/h (136 mph),10.26 s at 220.7 km/h (137.1 mph),—N/a,
Lamborghini Aventador SVJ,2019,ICE,10.3 s at 219.5 km/h (136.4 mph),—N/a,963,
Porsche Taycan Turbo S,2020,Electric,10.3 s at 214.5 km/h (133.3 mph),10.5 s at 211.5 km/h (131.4 mph),—N/a,
McLaren Artura,2023,Hybrid,10.3 s at 225.3 km/h (140 mph),—N/a,—N/a,
Lamborghini Aventador,2012,ICE,10.4 s at 218.9 km/h (136 mph),—N/a,—N/a,
Lamborghini Aventador SV,2015,ICE,10.4 s at 216.8 km/h (134.7 mph),10.47 s,600,
McLaren 650S,2015,ICE,10.4 s at 219.0 km/h (136.1 mph),10.5 s at 224 km/h (139.2 mph),—N/a,
Lamborghini Huracán,2015,ICE,10.4 s at 217.3 km/h (135 mph),10.6 s at 216 km/h (134.2 mph),—N/a,
Mercedes-AMG GT63 S E Performance,2025,Hybrid,10.4 s at 217.3 km/h (135 mph),10.5 s at 217 km/h (134.8 mph),—N/a,
Ferrari 812 Superfast,2018,ICE,10.5 s at 222 km/h (138 mph),10.5 s,—N/a,
Chevrolet Corvette (C8) Z06,2023,ICE,10.5 s at 211 km/h (131 mph),—N/a,—N/a,with Z07 package
McLaren 570S,2016,ICE,10.5 s,10.5 s,—N/a,
Lamborghini Huracán STO,2021,ICE,10.5 s at 219 km/h (136 mph),—N/a,—N/a,
Rivian R1S (Quad Motor),2025,Electric,10.5 at 206.3 km/h (128.2 mph),,,
Audi R8 V10 Plus,2016,ICE,10.51 s,10.51 s,—N/a,
Tesla Model S P100D,2017,Electric,10.51 s at 201.2 km/h (125 mph),—N/a,—N/a,
BMW M5 CS,2020,ICE,10.6 s at 209.2 km/h (130 mph),—N/a,1000,
Chevrolet Corvette (C8) E-Ray,2024,Hybrid,10.6 s at 206 km/h (128 mph),—N/a,—N/a,
Mercedes-AMG GT Black Series,2021,ICE,10.6 s at 218 km/h (136.1 mph),10.71 s,1700,
Ford Shelby GT500,2020,ICE,10.61 s at 214 km/h (133 mph),—N/a,5000,
Porsche 911 Turbo S (997),2011,ICE,10.7 s at 207.4 km/h (128.9 mph),10.91 s,—N/a,
McLaren 12C,2012,ICE,10.7 s at 215.7 km/h (134 mph),11.6 s at 208.4 km/h (129.5 mph),—N/a,
Dodge Challenger SRT Demon,2018,ICE,10.7 s,—N/a,3300,1-seat
BMW M8 Competition,2019,ICE,10.7 s at 207.6 km/h (129 mph),10.70 s,—N/a,
Mercedes-AMG GT 63 S 4MATIC+,2019,ICE,10.7 s at 207.6 km/h (129 mph),10.9 s,—N/a,
LaFerrari,2015,Hybrid,10.738 s at 217 km/h (135 mph),—N/a,499,
McLaren F1,1995,ICE,10.8 s at 229 km/h (142.3 mph),10.8 s at 229 km/h (142.3 mph),106,
Tesla Model S P90D w/Ludicrous Speed Upgrade,2016,Electric,10.8 s at 196.3 km/h (121.99 mph),—N/a,—N/a,with power output update
Ford GT,2017,ICE,10.8 s at 216.6 km/h (134 mph),—N/a,—N/a,
Chevrolet Corvette (C7) ZR1,2019,ICE,10.8 s at 214.2 km/h (133.1 mph),—N/a,—N/a,
BMW M5 Competition,2019,ICE,10.8 s at 209.2 km/h (130 mph),10.9 s at 207 km/h (128.6 mph),—N/a,
Porsche 911 GT3 (992),2021,ICE,10.8 s at 206.6 km/h (128.4 mph),10.8 s at 206.6 km/h (128.4 mph),—N/a,
Chevrolet Corvette (C7) Z06,2016,ICE,10.9 s at 213.6 km/h (132.7 mph),—N/a,—N/a,without Z07 package
