Car,Year,Propulsion,Time,Notes
Audi RS e-tron GT performance,2024,Electric,2.19 s,680 kW
Porsche 911 Turbo S (992),2020,ICE,2.5 s[citation needed],478 kW
Tesla Model S Plaid,2023,Electric,2.5 s,760 kW
Porsche 918 Spyder,2013,Hybrid,2.53 s,652 kW
Porsche 911 GT2 RS (991),2017,ICE,2.55 s,515 kW
Lamborghini Huracán Performante and Evo,2017,ICE,2.6 s,471 kW
Porsche Taycan Turbo S,2019,Electric,2.6 s,560 kW
Bugatti Veyron Super Sport,2010,ICE,2.7 s,883 kW
Porsche 911 Turbo S (991.2),2016,ICE,2.7 s,427 kW
McLaren 720S,2017,ICE,2.7 s,530 kW
Porsche 911 Turbo S (991),2013,ICE,2.8 s,412 kW
Audi R8 V10 Plus,2015,ICE,2.8 s,449 kW
Lamborghini Aventador SV,2015,ICE,2.8 s[citation needed],552 kW
Mercedes-AMG GT 63 S E-Performance,2022,Hybrid,2.8 s,620 kW
Bugatti Veyron,2005,ICE,2.84 s,736 kW
McLaren 570s,2016,ICE,2.9 s,419 kW
BMW M5 Competition,2018,ICE,2.9 s,469 kW
Ferrari 488 Pista,2018,ICE,2.9 s,530 kW
Tesla Model S Performance w/Ludicrous Mode,2019,Electric,2.9 s,449 kW
BMW M5 CS,2020,ICE,2.9 s,467 kW
Chevrolet Corvette (C8) Stingray Z51,2020,ICE,2.9 s[citation needed],369 kW
Ferrari 296 GTB,2022,ICE,2.9 s,610 kW
Mercedes-AMG GT 63 S 4MATIC+,2018,ICE,2.99 s,470 kW
Porsche 911 Turbo S (997),2010,ICE,3.0 s,390 kW
McLaren 675LT,2015,ICE,3.0 s,496 kW
Ferrari 812 Superfast,2017,ICE,3.0 s,588 kW
BMW M8 Competition,2019,ICE,3.0 s,460 kW
Nissan GT-R Nismo,2020,ICE,3.0 s,441 kW
Porsche Panamera Turbo S,2020,ICE,3.0 s,463 kW
Porsche 911 GT3 (992),2021,ICE,3.0 s,375 kW
