Year,Make and model,Top speed,Engine,Number built,Comment
1953,Pegaso Z-102,243.079 km/h (151.042 mph),"2,816 cc (171.8 cu in) V8 186 kW (253 PS; 250 bhp)",84,"250 hp supercharged variant. Tested by Belgian Automobile club, at Belgium's Jabbeke highway, but the results are not officially recognized worldwide. Classic Car commented that the Z-102 tested was a proto-type."
1959,Maserati 5000 GT,277.5 km/h (172.4 mph),"4,935 cc (301.2 cu in) V8 254 kW (345 PS; 340 bhp)",2,"No accurate measurement and only the first two cars had the 250 kW (340 PS; 340 hp) engine, 22 cars had coachwork by Allemano, 12 by 7 other companies"
1959,Maserati 5000 GT,277.5 km/h (172.4 mph),"4,941 cc (301.5 cu in) V8 242 kW (330 PS; 325 bhp)",32,"No accurate measurement and only the first two cars had the 250 kW (340 PS; 340 hp) engine, 22 cars had coachwork by Allemano, 12 by 7 other companies"
1985,Lamborghini Countach 5000QV,298 km/h (185 mph),"5,167 cc (315.3 cu in) V12 335 kW (455 PS; 449 hp)",610,"Tested by Auto, Motor und Sport. The car which was tested 305.9 km/h (190.1 mph) by Fast Lane in 1986 and listed in the Guinness Book of World Records 1988 had a factory modified airbox."
1990,Vector W8,389 km/h (242 mph) for prototype,"5,973 cc (364.5 cu in) twin-turbocharged V8 466 kW (634 PS; 625 hp)",17 production models,"No verified top speed for production model, 350 km/h (218 mph) claimed."
1992,Jaguar XJ220,338.8 km/h (210.5 mph),"3,498 cc (213.5 cu in) twin-turbocharged V6 404 kW (550 PS; 542 hp)",281,"Tested by Road & Track. The 349.4 km/h (217.1 mph) Guinness World Records speed was measured by Jaguar one-way without independent control with a car modified for about 50 extra horsepower, the 341.7 km/h (212.3 mph) claims were also factory measured without independent control."
2004,Koenigsegg CCR,387.866 km/h (241.009 mph),"4,700 cc (290 cu in) twin-supercharged V8 601 kW (817 PS; 806 hp)",14,Recorded at the Nardò Ring testing facility on 28 February 2005. Excluded from the list due to being a single directional run.
2014,Hennessey Venom GT,435.31 km/h (270.49 mph),"7,000 cc (430 cu in) twin-turbocharged V8 928 kW (1,261 PS; 1,244 bhp)",13,Single direction top speed test run in 2014 and no Hennessey VIN.
2019,Bugatti Chiron Super Sport 300+,490.484 km/h (304.773 mph),"7,993 cc (487.8 cu in) quad-turbocharged W16 1,177 kW (1,600 PS; 1,578 hp)",100-110,"On 2 August 2019, Andy Wallace achieved a maximum of 490.484 km/h (304.773 mph) in a pre-production prototype at Ehra-Lessien, which was verified by TÜV. The production version  has the same bodywork, engine and gearbox but no roll cage, different seats, ride height and an electronically limited top speed of 440 km/h (273.4 mph). Excluded from the list because it was a unidirectional top speed run."
2025,Yangwang U9 Xtreme,496.22 km/h (308.34 mph),"Four TZ240XYA electric motors 2,220 kW (3,018 PS; 2,977 hp)",Production limited up to 30 units for global markets,A prototype achieved this top speed on 20 September 2025. Excluded from the list due to being a unidirectional run.
