Vehicle,Year,Power,Notes,Sources
Benz Patent-Motorwagen,1886,0.6 kW (0.7 hp; 0.8 PS),First commercially available automobile in history,
Benz Velo,1894,1.1 kW (1.5 hp; 1.5 PS),First production car,
Peugeot Type 15,1897,6 kW (8 hp; 8 PS),Peugeot's first in-house engine,
Daimler Phoenix (de),1899,17 kW (23 hp; 23 PS),First four-cylinder road car,
Mercedes 35 HP,1901,26 kW (35 hp; 35 PS),"Originally designed as a race car, developed for road use",
Mercedes Simplex,1902,33 kW (44 hp; 45 PS),Successor to the 35 HP,
Mercedes Simplex 60 HP,1903,44 kW (59 hp; 60 PS),,
Hispano-Suiza 60/75,1907,55 kW (74 hp; 75 PS),,
80 Napier,1908,67 kW (90 hp; 91 PS),,
Isotta Fraschini Tipo KM,1910,89 kW (119 hp; 121 PS),,
Benz 82/200 HP (de),1912,147 kW (197 hp; 200 PS),Powered by a modified airship engine,
Bugatti Type 41,1927,221 kW (296 hp; 300 PS),Also known as the Royale,
Duesenberg Model SJ,1932,239 kW (320 hp; 324 PS),Supercharged version of the Model J,
Duesenberg Model SSJ,1935,291–298 kW (390–400 hp; 395–406 PS),The short-wheelbase version of the Model SJ,
Mercury Monterey,1958,298 kW (400 hp; 405 PS),Super Marauder engine available in all 1958 Mercury vehicles.,
Plymouth Fury Max Wedge Ramcharger II,1963,317 kW (425 hp; 431 PS),Made for drag racing.,
Shelby Cobra Mk. III 427 Competition,1965,362 kW (485 hp; 492 PS),Last car on list measured by SAE gross power.,
Porsche 959 S,1988,379 kW (508 hp; 515 PS),29 produced.,
Bugatti EB110,1991,412 kW (553 hp; 560 PS),139 produced.,
McLaren F1,1992,461 kW (618 hp; 627 PS),106 produced.,
Dauer 962 Le Mans,1993,537 kW (720 hp; 730 PS),13 produced.,
Koenigsegg CCR,2004,601 kW (806 hp; 817 PS),14 produced.,
Bugatti Veyron,2005,"736 kW (987 hp; 1,001 PS)",310 produced (16.4 and Grand Sport). First car with a double-clutch transmission on list.,
SSC Ultimate Aero TT,2009,"960 kW (1,287 hp; 1,305 PS)",Last car with a manual transmission on list.,
Koenigsegg One:1,2014,"1,000 kW (1,341 hp; 1,360 PS)",7 produced.,
Koenigsegg Regera,2016,"1,103 kW (1,479 hp; 1,500 PS)",80 units produced. First hybrid car on list.,
Bugatti Chiron Super Sport 300+,2021,"1,176 kW (1,578 hp; 1,600 PS)",30 produced.,
Hennessey Venom F5,2021,"1,355 kW (1,817 hp; 1,842 PS)",Last exclusively fossil fuel car on the list.,
Rimac Nevera,2022,"1,408 kW (1,888 hp; 1,914 PS)",150 units to be produced. First all-electric car on the list.,
Lotus Evija,2023,"1,500 kW (2,012 hp; 2,039 PS)",130 units produced.,
Rimac Nevera R,2025,"1,550 kW (2,079 hp; 2,107 PS)",40 units planned.,
