Type,Year,Name,Vehicle,Time
ICE Production Vehicles2,ICE Production Vehicles2,ICE Production Vehicles2,ICE Production Vehicles2,ICE Production Vehicles2
Production Car3,2023,Rhys Millen,2023 BMW M8,10:12.024
Production SUV / Crossover4,2018,Rhys Millen,2018 Bentley Bentayga W12,10:49.902
Production Truck / Van,,,,
Electric Production Vehicles,Electric Production Vehicles,Electric Production Vehicles,Electric Production Vehicles,Electric Production Vehicles
Electric Production Car5,2020,Blake Fuller,2018 Tesla Model 3,11:02.802
Electric Production SUV / Crossover,2024,Ron Zaras  R,2025 Hyundai Ioniq 5 N,10:49.267
Electric Production Truck / Van,2024,Gardner Nichols,2024 Rivian R1T,10:53.883
Electric Modified Vehicles,Electric Modified Vehicles,Electric Modified Vehicles,Electric Modified Vehicles,Electric Modified Vehicles
Electric Modified Car,2023,Randy Pobst,2021 Tesla Model S Plaid,9:54.901
Electric Modified SUV / Crossover,2024,Dani Sordo  R,2025 Hyundai Ioniq 5 N,9:30.852
Electric Modified Truck / Van,2023,Romain Dumas,2023 Ford Supervan 4.2,8:47.682
Electric Prototype / Purpose-Built6,2018,Romain Dumas,2018 Volkswagen I.D. R,7:57.148
