Year,Winner,Vehicle,Time,Notes
1916,Rea Lentz,Romano Special,20:55.600,
1917–1919,No competition due to World War I,No competition due to World War I,No competition due to World War I,No competition due to World War I
1920,Otto Loesche,Lexington Special,22:25.400,
1921,King Rhiley,Hudson Special,19:16.200,
1922,Noel Bullock,Ford Special,19:50.900,
1923,Glen Shultz,Hudson Essex,18:47.000,
1924,Otto Loesche,Lexington Special,18:15.000,
1925,Charles H. Myers,Chandler Special,17:48.400,
1926,Glen Shultz,Stutz,18:19.400,
1927,Glen Shultz,Stutz,18:25.100,
1928,Glen Shultz,Stutz Special,17:41.600,
1929,Edward Phillips,Shultz Stutz 8,18:22.800,
1930,Glen Shultz,Stutz DV-32,18:08.700,
1931,Charles H. Myers,Hunt Special,17:10.300,
1932,Glen Shultz,Shultz/Stutz Special,16:47.200,
1933,Glen Shultz,Stutz DV-32,17:27.500,
1934,Louis Unser,Stutz Special,16:01.800,
1935,W.P. Bentrup,1935 Chevrolet 1+1⁄2-ton Truck,26:12.000,
1936,Louis Unser,Shultz Stutz,16:28.100,
1937,Louis Unser,Stutz DV-32,16:27.300,
1938,Louis Unser,Loop Cafe Special,15:49.900,
1939,Louis Unser,Snowberger Special,15:39.400,
1940,Al Rogers,Joe Coniff Special,15:59.900,
1941,Louis Unser,Burd Special,15:35.200,
1942–1945,No competition due to World War 2,No competition due to World War 2,No competition due to World War 2,No competition due to World War 2
1946,Louis Unser,Maserati,15:28.700,
1947,Louis Unser,Maserati,16:34.770,
1948,Al Rogers,Coniff Special Offenhauser,15:51.300,
1949,Al Rogers,Coniff Special,15:54.260,
1950,Al Rogers,Coniff Special,15:39.000,
1951,Al Rogers,Offenhauser,15:39.700,
1952,George Hammond,Kurtis Kraft Offenhauser Special,15:30.650,
1953,Louis Unser,Federal Engineering Special,15:15.400,
1954,Keith Andrews,Joe Hunt,14:39.700,
1955,Bob Finney,Dick Frenzel Special,14:27.200,
1956,Bobby Unser,Unser Special,14:27.000,
1957,Bob Finney,Dick Frenzel Special,14:11.700,
1958,Bobby Unser,Unser Special,13:47.900,
1959,Bobby Unser,Unser Special,13:36.500,
1960,Bobby Unser,Unser Special,13:28.500,
1961,Bobby Unser,Unser Special,12:56.700,
1962,Bobby Unser,Unser Special,12:05.800,
1963,Bobby Unser,Chevrolet 327,12:30.600,
1964,Al Unser,Offenhauser,12:24.500,
1965,Al Unser,Harrison Ford,12:54.300,
1966,Bobby Unser,Chevrolet,12:23.800,
1967,Wes Vandervoort,Chevrolet,12:46.300,
1968,Bobby Unser,Rislone Special,11:54.900,
1969,Mario Andretti,Chevrolet STP Special,12:44.070,
1970,Ted Foltz,Chevrolet 303,12:41.100,
1971,Ak Miller,1970 Mustang,14:18.600,
1972,Roger Mears,Volkswagen 2180,13:26.840,
1973,Roger Mears,Volkswagen 2180,12:54.790,
1974,Errol Kobilan,Sprint Chevrolet 302,12:54.770,
1975,Orville Nance,Chevrolet 327,12:36.650,
1976,Rick Mears,Porsche 2386,12:11.890,
1977,Bob Herring,Chevrolet 350,12:15.720,
1978,Errol Kobilan,Chevrolet,11:55.830,
1979,Dick Dodge Jr.,Hoffpauir Wells Coyote Chevrolet,11:54.180,
1980,Ted Foltz,1970 Chevrolet 350,12:15.810,
1981,Gary Lee Kanawyer,1976 N-D Porsche,12:03.960,
1982,Bill Brister,Woziwodzki Wells Coyote Chevrolet,11:44.820,
1983,Al Unser Jr.,Woziwodzki Wells Coyote Chevy,11:38.300,
1984,Bill Brister,1981 Wells Coyote,11:44.490,
1985,Michèle Mouton,Audi Sport Quattro S1,11:25.390,
1986,Bobby Unser,Audi Sport Quattro SL,11:09.220,
1987,Walter Röhrl,Audi Sport Quattro E2 Pikes Peak,10:47.850,
1988,Ari Vatanen,Peugeot 405 Turbo 16,10:47.220,
1989,Robby Unser,Peugeot 405 Turbo 16,10:48.340,
1990,Robby Unser,Unser Chevrolet,11:32.860,
1991,David Donner,Donner-Dykstra Chevrolet,11:12.420,
1992,Robby Unser,Unser Chevrolet,10:53.870,
1993,Paul Dallenbach,Davis Chevrolet,10:43.630,
